ID_Date;Lab_code;Laboratory;Age14C;SD14C;Date_type;Delta_13C;delta_13C_deviation;Measurement_note_Bratislava;Country;District;Civil_parish;Civil_parish_ID;Local_part;Site_name;Site_ID;Site_note;Context_name;Context_type;Context_structure;Activity_CZ;Activity_ENG;Site_category_CZ;Site_category_ENG;Context_dating;Contex_dating_AMCR;Dating_error;Description_of_dating_error;Context_note;Sample_name;Sample_material;Sample_species;Sample_note;Primary_Source;Secondary_Source;Latitude_WGS84;Longitude_WGS84;Localisation_accuracy
CzArch_25;Bln-2142;Bln;5120;50;conv. 14C BP;;;;CZ;Znojmo;Maršovice;659436;;Na Kocourkách;271;;feature 10;pit;;síd;settlement;sídliště;settlement;Lengyel Culture phase IV phase IIb;ne.len;n;;;;bone / tooth;undetermined animal bone;;Kuča M. - Přichystal A. - Schenk Z. - Škrdla P. - Vokáč M: Lithic raw material procurement in the Moravian Neolithic: the search for extra-regional networks. Documenta Praehistorica 36 2009 313-326. (Page 1 321);Bratislava;49.043625;16.416631;site
CzArch_26;Bln-2176;Bln;1975;50;conv. 14C BP;;;date problematic. measurement in 1979.;CZ;Kutná Hora;Miskovice;695998;;Velký Patera (site Miskovice 2);130;;25;grave;burial;poh;burial;pohřebiště;burial ground;Stroke-Ornamented Ware Culture phase IVa;ne.vyp;n;;cremation grave;;charcoal;unpublished;;Zápotocká M: Bestattungsritus des böhmischen Neolithikums (5500-4200 B.C.). Gräber und Bestattungen der Kultur mit Linear- Stichband- und Lengyelkeramik. . Praha 1998. (Page 59);Bratislava;49.942610;15.217075;site
CzArch_27;Bln-2177;Bln;5930;unpublished;conv. 14C BP;;;1 sigma: ?. measurement in 1979.;CZ;Kutná Hora;Miskovice;695998;;Velký Patera (site Miskovice 2);130;;49;grave;burial;poh;burial;pohřebiště;burial ground;Stroke-Ornamented Ware Culture phase IVa;ne.vyp;y;standard deviation missing;cremation grave;;charcoal;unpublished;;Zápotocká M: Bestattungsritus des böhmischen Neolithikums (5500-4200 B.C.). Gräber und Bestattungen der Kultur mit Linear- Stichband- und Lengyelkeramik. . Praha 1998. (Page 59);Bratislava;49.942610;15.217075;site
CzArch_28;Bln-2178;Bln;not measurable;not measurable;conv. 14C BP;;;sample not measurable. measurement in 1979.;CZ;Kutná Hora;Miskovice;695998;;Velký Patera (site Miskovice 2);130;;102;grave;burial;poh;burial;pohřebiště;burial ground;Stroke-Ornamented Ware Culture phase IVa;ne.vyp;y;sample too small for measumerent;inhumation grave;;charcoal;unpublished;;Zápotocká M: Bestattungsritus des böhmischen Neolithikums (5500-4200 B.C.). Gräber und Bestattungen der Kultur mit Linear- Stichband- und Lengyelkeramik. . Praha 1998. (Page 59);Bratislava;49.942610;15.217075;site
CzArch_29;Bln-2179;Bln;not measurable;not measurable;conv. 14C BP;;;sample too small for measurement. measurement in 1979.;CZ;Kutná Hora;Miskovice;695998;;Velký Patera (site Miskovice 2);130;;83;grave;burial;poh;burial;pohřebiště;burial ground;Stroke-Ornamented Ware Culture phase IVa;ne.vyp;y;sample too small for measumerent;cremation grave;;charcoal;unpublished;;Zápotocká M: Bestattungsritus des böhmischen Neolithikums (5500-4200 B.C.). Gräber und Bestattungen der Kultur mit Linear- Stichband- und Lengyelkeramik. . Praha 1998. (Page 59);Bratislava;49.942610;15.217075;site
CzArch_30;Bln-239;Bln;4768;100;conv. 14C BP;;;no associated sherds (only hammer-stones and artifact of quarzite and bone). surface finds of Linear Pottery culture and Funnel Beaker culture;CZ;Chomutov;Tušimice;771899;Tušimice;;90;;1;hearth;;těž;extracting;těžební areál;extraction site;Řivnáč Culture;en.riv;y;no artefact associated;mine located in the bottom of vertical pit (cut to 350 m depth in sandstone). Early or Middle Aeneolithic;;charcoal;Pyrus sp.;;Neustupný E: Absolute Chronoogy of the Neolithic and Aeneolithic Periods in Central and South-Eastern Europe. Slovenská Archeológia 16 1968 19-60.;Bratislava;50.387097;13.331745;parish
CzArch_31;Bln-240;Bln;5881;100;conv. 14C BP;;;;CZ;Teplice;Žalany;794325;;;250;;dwelling pit Nr. 1;unspecified feature;house;síd;settlement;sídliště;settlement;Stroke-Ornamented Ware Culture phase I;ne.vyp;n;;with half sunken floor 1958 excavation (N. Mašek);;charcoal;Quercus sp.;;Kohl G. - Quitta H: Berlin Radiocarbon Measurements II. Radiocarbon 8 1966 27-45. (Page 39);Bratislava;50.584191;13.908410;parish
CzArch_32;Bln-2424;Bln;5570;60;conv. 14C BP;;;;CZ;Brno-město;Bystrc;611778;Bystrc;;8;;;unspecified feature;;síd;settlement;sídliště;settlement;Lengyel Culture Santovka phase phase Ic;ne.len;n;;location: 0-5;;charcoal;Quercus sp.;;Šebela L. - Kuča M: Objekt 3/1996 z Mokré u Brna (okr. Brno-venkov) a jeho přínos k datování závěru I. stupně kultury s MMK. In: Lutovský M. (ed.): Otázky neolitu a eneolitu našich zemí 2003. Sborník referátů z 22. pracovního setkání badatelů zaměřených na výzkum neolitu a eneolitu. Český Brod - Kounice 23. až 26. září 2003. . Praha 2004 271-285. (Table 2);Bratislava;49.232813;16.478871;parish
CzArch_33;Bln-2840;Bln;3660;60;conv. 14C BP;;;;CZ;Vyškov;Holubice;777871;;Holubice I;263;previously belonged to district Brno-venkov;feature 1;pit;;síd;settlement;sídliště;settlement;Bell Beaker Culture phase III;en.zvo;n;;;;bone / tooth;undetermined animal bone;;Rakovský I: Sídliště kultury zvoncovitých pohárů v Holubicích. Archeologické rozhledy 37 1985 377-389. (Page 386);Bratislava;49.172236;16.818704;parish
CzArch_34;Bln-2841;Bln;3670;50;conv. 14C BP;;;;CZ;Vyškov;Holubice;777871;;Holubice I;263;previously belonged to district Brno-venkov;Feature 2;pit;;síd;settlement;sídliště;settlement;Bell Beaker Culture phase III;en.zvo;n;;;;bone / tooth;undetermined animal bone;;Rakovský I: Sídliště kultury zvoncovitých pohárů v Holubicích. Archeologické rozhledy 37 1985 377-389. (Page 386);Bratislava;49.172236;16.818704;parish
CzArch_36;Bln-2891;Bln;3450;60;conv. 14C BP;;;the ditch was made in time of Řivnáč culture the date could therefore indicate slow natural filling of the ditch;CZ;Kutná Hora;Kutná Hora;677710;Vrchlice;Denemark;129;hillfort;Feature 2;ditch;;síd;settlement;hradiště;hillfort;Řivnáč Culture Únětice Culture late phase;en.riv;y;no artefact associated;hillfort central ditch sector D13 lower layer depth 180-210 cm;2;unpublished;unpublished;;Zápotocký M. - Zápotocká M: Kutná Hora - Denemark. Hradiště řivnáčské kultury (ca 3000-2800 př. Kr.). Památky Archeologické - Supplementum 18. Praha 2008.;Bratislava;49.929755;15.252822;site
CzArch_37;Bln-2892;Bln;4150;60;conv. 14C BP;;;;CZ;Kutná Hora;Kutná Hora;677710;Vrchlice;Denemark;129;hillfort;feature 22;layer;house;síd;settlement;hradiště;hillfort;Řivnáč Culture early phase;en.riv;n;;hillfort dwelling with (half) sunken floor (sectors HI11-12) layer in depth 200-210 cm;3;unpublished;unpublished;;Zápotocký M. - Zápotocká M: Kutná Hora - Denemark. Hradiště řivnáčské kultury (ca 3000-2800 př. Kr.). Památky Archeologické - Supplementum 18. Praha 2008.;Bratislava;49.929755;15.252822;site
CzArch_38;Bln-302;Bln;3020;150;conv. 14C BP;;;date problematic;CZ;Znojmo;Křepice;675954;;;269;;feature 8;pit;;síd;settlement;sídliště;settlement;Lengyel Culture phase I phase II;ne.len;n;;upper part of the pit - nearly destroyed oven;;grain;Hordeum vulgare L. polystichum;;Kohl G. - Quitta H: Berlin Radiocarbon Measurements IV. Radiocarbon 12 1970 400-420. (Page 405);Bratislava;48.984603;16.099661;parish
CzArch_39;Bln-3232;Bln;4780;70;conv. 14C BP;;;the pit was not filled by single layer and the exact possition of the sample is unclear. the site was previously (before the 19th Century) a wet meadow;CZ;Přerov;Hlinsko;639401;;Nad Zbružovým;221;;feature 246 (6/1975);pit;;síd;settlement;hradiště;hillfort;Baden Culture phase Ia;en.bad;n;;hillfort;;charcoal;Quercus sp.;;Furholt M: Die nördlichen Badener Keramikstile im Kontext des mitteleuropäischen Spätneolithikums (3650 - 2900 v. Chr.). Studien zur Archäologie in Ostmitteleuropa 3 / Studia nad Pradziejami Europy Środkowej 3. Bonn 2009.;Bratislava;49.503908;17.586002;site
CzArch_40;Bln-3233;Bln;4660;60;conv. 14C BP;;;the original 14C date published by J. Pavelčík (4680 ± 60 BP) was corrected by A. de Capitani 2002 (4660 +- 60 BP) - see Furholt 2009. the site was previously (before the 19th Century) a wet meadow;CZ;Přerov;Hlinsko;639401;;Nad Zbružovým;221;;feature 319 (20/1977 + 26/1978);pit;;síd;settlement;hradiště;hillfort;Baden Culture phase Ia;en.bad;n;;hillfort;;charcoal;unpublished;;de Capitani A: Gefäßkeramik. In: de Capitani A. - Deschler-Erb S. - Leuzinger U. - Marti-Grädel E. - Schibler J. (eds.): Die jungsteinzeitliche Seeufersiedlung Arbon Bleiche 3. Funde. Archäologie im Thurgau 11. Frauenfeld 2002 135-276. (Figure 212 312);Bratislava;49.503908;17.586002;site
CzArch_41;Bln-3265;Bln;4120;50;conv. 14C BP;;;;CZ;Kutná Hora;Kutná Hora;677710;Vrchlice;Denemark;129;hillfort;feature 41a;pit;;síd;settlement;hradiště;hillfort;Řivnáč Culture early phase;en.riv;n;;hillfort feature in sector D4. southern half of the filling depth 40-70 cm grain pit;4;grain;unpublished;carbonized charcoal;Zápotocký M. - Zápotocká M: Kutná Hora - Denemark. Hradiště řivnáčské kultury (ca 3000-2800 př. Kr.). Památky Archeologické - Supplementum 18. Praha 2008.;Bratislava;49.929755;15.252822;site
CzArch_42;Bln-3266;Bln;4280;70;conv. 14C BP;;;;CZ;Kutná Hora;Kutná Hora;677710;Vrchlice;Denemark;129;hillfort;feature 41a;pit;;síd;settlement;hradiště;hillfort;Řivnáč Culture early phase;en.riv;n;;hillfort feature in sector D4. northern half of the filling depth 60-70 cm grain pit;5;grain;unpublished;carbonized charcoal;Zápotocký M. - Zápotocká M: Kutná Hora - Denemark. Hradiště řivnáčské kultury (ca 3000-2800 př. Kr.). Památky Archeologické - Supplementum 18. Praha 2008.;Bratislava;49.929755;15.252822;site
CzArch_43;Bln-3267;Bln;3890;50;conv. 14C BP;;;archaeological dating based on 14C data - the storage pit contained material of Řivnáč culture the 14C data might relate to Corded Ware burial place in the area of Řivnáč culture hillfort;CZ;Kutná Hora;Kutná Hora;677710;Vrchlice;Denemark;129;hillfort;Feature 41;pit;;síd;settlement;hradiště;hillfort;Corded Ware Culture;en.snu;n;;hillfort feature in sectors DC4. depth 12-14 m grain pit;6;charcoal;unpublished;;Zápotocký M. - Zápotocká M: Kutná Hora - Denemark. Hradiště řivnáčské kultury (ca 3000-2800 př. Kr.). Památky Archeologické - Supplementum 18. Praha 2008.;Bratislava;49.929755;15.252822;site
CzArch_44;Bln-3268;Bln;4200;70;conv. 14C BP;;;;CZ;Kutná Hora;Kutná Hora;677710;Vrchlice;Denemark;129;hillfort;feature 36;pit;;síd;settlement;hradiště;hillfort;Řivnáč Culture early phase;en.riv;n;;hillfort feature in sector E1. depth 20-50 cm bottom of the pit;7;charcoal;unpublished;;Zápotocký M. - Zápotocká M: Kutná Hora - Denemark. Hradiště řivnáčské kultury (ca 3000-2800 př. Kr.). Památky Archeologické - Supplementum 18. Praha 2008.;Bratislava;49.929755;15.252822;site
CzArch_45;Bln-3269;Bln;4110;50;conv. 14C BP;;;;CZ;Kutná Hora;Kutná Hora;677710;Vrchlice;Denemark;129;hillfort;feature 1;ditch;;síd;settlement;hradiště;hillfort;Řivnáč Culture;en.riv;n;;hillfort outer ditch sectors F14-15 layer 3 depth 40-60 cm bottom of the feature;8;charcoal;unpublished;;Zápotocký M. - Zápotocká M: Kutná Hora - Denemark. Hradiště řivnáčské kultury (ca 3000-2800 př. Kr.). Památky Archeologické - Supplementum 18. Praha 2008.;Bratislava;49.929755;15.252822;site
CzArch_46;Bln-3270;Bln;3210;70;conv. 14C BP;;;the ditch was made in time of Řivnáč culture the date could indicate slow natural filling of the ditch;CZ;Kutná Hora;Kutná Hora;677710;Vrchlice;Denemark;129;hillfort;Feature 2;ditch;;síd;settlement;hradiště;hillfort;Řivnáč Culture Bronze Age;en.riv;y;unexpected date;hillfort central ditch trench 1 in Eastern enclosure layer 2 (lower) depth 80-90 cm bottom of the ditch;9;charcoal;unpublished;;Zápotocký M. - Zápotocká M: Kutná Hora - Denemark. Hradiště řivnáčské kultury (ca 3000-2800 př. Kr.). Památky Archeologické - Supplementum 18. Praha 2008.;Bratislava;49.929755;15.252822;site
CzArch_47;Bln-3759;Bln;6080;60;conv. 14C BP;;;;CZ;Praha-západ;Kosoř;669971;;Nad Staňkovnou pieskovňa;202;;feature 68;pit;;síd;settlement;sídliště;settlement;Linear Pottery Culture phase II (CZ);ne.lin;n;;shallow pit. beginning of middle phase;;grain;unpublished;carbonized;Lička M: Osídlení kultury s lineární keramikou v Kosoři okr. Praha-západ. Fontes Archaeologici Pragenses 37. Pragae 2011. (Page 94);Bratislava;49.976711;14.331077;site
CzArch_48;Bln-4165;Bln;4520;80;conv. 14C BP;;;date problematic (too old in comparison with other dates of contemporary cultures) - old wood effect?;CZ;Litoměřice;Lovosice;687707;;Schwarcenberská cihelna (Schwarzenberg brickyard);136;;;unspecified feature;;síd;settlement;sídliště;settlement;Globular Amphora Culture;en.kul;y;unexpected date;"lower part of the filling or the bottom of the feature - \""untere Herdschicht Tiefe 18 m\"" excavation in 1920's and 1930's";;charcoal;Quercus sp.;;Kohl G. - Quitta H: Berlin Radiocarbon Measurements I. Radiocarbon 6 1964 308-317. (Page 315);Bratislava;50.507254;14.048202;site
CzArch_49;Bln-4195;Bln;1580;80;conv. 14C BP;-24.12;;barrow dated to Early Middle Ages sample from the La Tène layer?;CZ;Písek;Kožlí u Orlíka;712230;;Kožlí I;178;;barrow I/6;grave;burial;poh;burial;pohřebiště;burial ground;La Tène Period;laten;y;unexpected date;charcoal layer in lowest level of burial mound barrow;sample 9;wood;Pinus sylvestris;;Lutovský M: Mohylové pohřebiště v Kožlí u Orlíka okr. Písek. K poznání raně středověkých mohyl ve středním Povltaví. Archeologie ve středních Čechách 2 1998 277-327. (Page 298);Bratislava;49.522533;14.143619;site
CzArch_50;Bln-4207;Bln;2785;60;conv. 14C BP;;;;CZ;Příbram;Klučenice;666602;Voltýřov;Žíkovec;227;;;unspecified feature;fortification;síd;settlement;hradiště;hillfort;Štítary Culture;br.sti;n;;the inner construction of the fortification trench V/85;;charcoal;unpublished;tree of large dimensions;Smejtek L. et al: Osídlení z doby bronzové v Kněževsi u Prahy. 1. text. . Praha 2011. (Figure 263 321);Bratislava;49.560179;14.187984;parish
CzArch_51;Bln-4208;Bln;2795;50;conv. 14C BP;;;;CZ;Příbram;Klučenice;666602;Voltýřov;Žíkovec;227;;;unspecified feature;fortification;síd;settlement;hradiště;hillfort;Štítary Culture;br.sti;n;;the inner construction of the fortification trench V/85;;charcoal;unpublished;tree of large dimensions;Smejtek L. et al: Osídlení z doby bronzové v Kněževsi u Prahy. 1. text. . Praha 2011. (Figure 263 321);Bratislava;49.560179;14.187984;parish
CzArch_52;Bln-433;Bln;3925;150;conv. 14C BP;;;;CZ;Brno-město;Líšeň;612405;Líšeň;Staré Zámky;10;;;cultural layer;;síd;settlement;hradiště;hillfort;Baden Culture;en.bad;n;;hillfort level Líšeň I area PP-III/1963 depth 150 m cultural layer;1/63;charcoal;Quercus sp.;;Kohl G. - Quitta H: Berlin Radiocarbon Measurements IV. Radiocarbon 12 1970 400-420. (Page 404);Bratislava;49.216566;16.715324;site
CzArch_53;Bln-434;Bln;3035;150;conv. 14C BP;;;;CZ;Brno-město;Líšeň;612405;Líšeň;Staré Zámky;10;;;cultural layer;;síd;settlement;hradiště;hillfort;Bronze Age;bronz;n;;hillfort level Líšeň I - upper horizon area RR-III/1963 depth 120 m, cultural layer;2/63;charcoal;Quercus sp.;;Kohl G. - Quitta H: Berlin Radiocarbon Measurements IV. Radiocarbon 12 1970 400-420. (Page 404);Bratislava;49.216566;16.715324;site
CzArch_54;Bln-437;Bln;5070;200;conv. 14C BP;;;sample contaminated by material of Stroke-Ornamented Ware Culture?;CZ;Ústí nad Labem;Chabařovice;650498;;;262;;pit 58/A;pit;house;síd;settlement;sídliště;settlement;Linear Pottery Culture early phase;ne.lin;y;possible contamination;part of the pit system of a house W side of the house (N part of the settlement area). depth 070-090 below surface;;charcoal;Quercus sp.;;Kohl G. - Quitta H: Berlin Radiocarbon Measurements IV. Radiocarbon 12 1970 400-420. (Page 404);Bratislava;50.674380;13.941921;parish
